ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ,,,,,,
38,65102000560,คลินิกเฉพาะทางด้านเวชกรรมเวชศาสตร์ครอบครัวแพทย์หญิงพันธิตรา,น.ส.พันธิตรา  สิงห์เขียว,น.ส.พันธิตรา  สิงห์เขียว,399/2 ม.1 ต.วัดพริก อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,,,154,38,,,
39,65102000660,คลินิกเฉพาะทางด้านเวชกรรมกระดูกและข้อแพทย์วิบูลย์,นายวิบูลย์  วาณิชย์เจริญพร,นายวิบูลย์  วาณิชย์เจริญพร,261/93 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,คลินิกวิบูลย์-ศศิธร การแพทย์ โรคกระดูกและข้อ ข้อเข่าเทียม-ข้อสะโพกเทียม,คลินิก หมอวิบูลย์ รักษาตรวจโรคกระดูกและข้อ โรคทั่วไป ผ่าตัดข้อเข่าเทียม และข้อสะโพกเทียม,083 484 8842,https://www.facebook.com/wiboonortho/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/25399152_500172443686526_625171204695336222_n.jpg?_nc_cat=109&_nc_oc=AQlhmwR7PgO28aNrbuexlwkCFHEZKHql3uEsq5cagmL_9uMMK5I9KdycPocW8BYFifTZW0md_4r9TQ9aoknSlVwh&_nc_ht=scontent.fphs2-1.fna&oh=072daf816f3d638a928bb760cc1b71ae&oe=5DECF2D9,3/10/2019,เพจทางการ,,155,39,,,
40,65102000760,พรรณวลัยคลินิกเฉพาะทางด้านเวชกรรมประสาทวิทยา,นางพรรณวลัย  ผดุงวณิชย์กุล,นางพรรณวลัย  ผดุงวณิชย์กุล,245/100 ถ.ราษฎร์อุทิศ ต.เมือง อ.เมือง จ.พิษณุโลก,055-252229,,เฉพาะทาง,คลินิคหมอพรรณวลัย,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%A7%E0%B8%A5%E0%B8%B1%E0%B8%A2/219064365274057,,5/6/2019,เพจไม่เป็นทางการ,,156,40,,,
41,65102000860,คลินิกเฉพาะทางด้านเวชกรรมกุมารแพทย์หญิงพัชรินทร์,นางพัชรินทร์  เรืองธุวกุล,นางพัชรินทร์  เรืองธุวกุล,52/1 ม.1 ต.วังทอง อ.วังทอง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,,,157,41,,,
42,65102000960,คลินิกหมอมัณฑนาคลินิกพาะทางด้านเวชกรรมโสต ศอ นาสิก,น.ส.มัณฑนา  ประกาศสัจธรรม,น.ส.มัณฑนา  ประกาศสัจธรรม,159 ม.5 ต.วัดพริก อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,คลินิกหมอมัณฑนา หู คอ จมูก นอนกรน,ตรวจรักษาโรคทั่วไป หวัด เจ็บคอ ภูมิแพ้ ไซนัสอักเสบ นอนกรน หูอื้อ ปวดหู เวียนบ้านหมุน,094 549 0404,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%A1%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%99%E0%B8%B2-%E0%B8%AB%E0%B8%B9-%E0%B8%84%E0%B8%AD-%E0%B8%88%E0%B8%A1%E0%B8%B9%E0%B8%81-%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%99-291516361305764/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/23658492_372508186539914_1252087519418209057_n.jpg?_nc_cat=108&_nc_oc=AQlVqTDy9chZu3USO1yvEn5raSTqSH26HzkTeFm5sZ2B0nkcoxJ3cTYvIQLA88_gI5OVOtXcMXTayMcf3F0IX0W2&_nc_ht=scontent.fphs2-1.fna&oh=e564fb116782dc56b79c4cf39a7e8c5b&oe=5DACD25D,11/10/2019,เพจทางการ,,158,42,,,
43,65102001060,คลินิกเฉพาะทางด้านเวชกรรมกระดูกและข้อแพทย์วิรัตน์,นายวิรัตน์  ธีระสกุล,นายวิรัตน์  ธีระสกุล,79/1 ม.1 ต.พรหมพิราม อ.พรหมพิราม จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,,,159,43,,,
44,65102001160,คลินิกพาะทางด้านเวชกรรมเวชศาสตร์ครอบครัวแพทย์หญิงสุวรรณรัตน์,น.ส.สุวรรณรัตน์  สิงหะบุระอุดม,น.ส.สุวรรณรัตน์  สิงหะบุระอุดม,55/43-44 ถ.ศรีธรรมไตรฯ ต.ในเมือง อ.เมือง จ.พิษณุดลก,,,เฉพาะทาง,คลินิกเวชกรรมแพทย์หญิงสุวรรณรัตน์,ตรวจรักษาโรคทั่วไปทุกกลุ่มวัยและให้คำปรึกษาสุขภาพ,064 958 9422,https://www.facebook.com/suwannaratfamilymedicalclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/22853005_831727486999899_8603785459386503721_n.jpg?_nc_cat=102&_nc_eui2=AeFuVpQTZpdrkbbgd8ZNCPcVWDIxFu9NLOYy_bEhmZ9cUoWJmHrRmXlbtWRdZPDWYMcL5BErIdVH-2bwmvZp8qXVGsjnNIXgNqieF6Jq-UrAeg&_nc_oc=AQmCxENYQl-e2i9g1XPeLXfeLlY64L-ao4OOIFsX858vzggEUGy06z-ieNNxjljaVjD72XYVq8XmI9URPdQ98Nb5&_nc_ht=scontent.fphs2-1.fna&oh=95462ad021c7203592a3995e1c8e5c49&oe=5E1F4203,18/10/2019,เพจทางการ,,160,44,,,
45,65102001260,คลินิกเฉพาะทางด้านเวชกรรมประสาทวิทยาแพทย์หญิงดวงนภา,น.ส.ดวงนภา  รุ่งพิบูลโสภิษฐ์,น.ส.ดวงนภา  รุ่งพิบูลโสภิษฐ์,261/67 ถ.บรมไตรฯ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,คลินิกรักษ์สมอง Neurology Clinic,ตรวจรักษาโรคทางระบบประสาทและสมอง โดย พญ.ดวงนภา รุ่งพิบูลโสภิษฐ์ (จ.พิษณุโลก),055 906 525,https://www.facebook.com/raksamongclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/23472318_927853627366288_3707187898575886009_n.jpg?_nc_cat=102&_nc_eui2=AeFTzdaABhQLlPmtbzNnlL9GQc2r2gNQBteqm6x0kYxwQvgNWWN7rua1efDz1gyekLpRgDUybAIFqdfkHfbW7t92YcmgJroXnCr2mWki6dAsuQ&_nc_oc=AQnx5xUkJmJius5J-9mpTmcVPmKv-6JPRwX6MqwkbDrLj3MeN3p8lSNdDkMUN-WyyXE6bw_2sB-IZNSZmc4dw4wk&_nc_ht=scontent.fphs2-1.fna&oh=bf42473b767a42d08ef6003a7c28c0f8&oe=5E249D87,16/10/2019,เพจทางการ,,161,45,,,
46,65102001360,คลินิกเฉพาะทางด้านเวชกรรมเวชศาสตร์ฟื้นฟูแพทย์หญิงปิยรัตน์,น.ส.ปิยรัตน์  สิทธิบุศย์,น.ส.ปิยรัตน์  สิทธิบุศย์,37/54 ถ.ชาญเวชกิจ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,คลินิกแพทย์หญิงปิยรัตน์,"รักษาโดย 
- เครื่องมือ เลเซอร์กำลังสูง ทันสมัย
- เครื่องลดปวดshockwave 
- กายภาพบำบัด - ฝังเข็ม",095 323 5789,https://www.facebook.com/piyaratclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/21761859_467485843637315_4153599547277103249_n.jpg?_nc_cat=110&_nc_eui2=AeF_fTkIlfa6pSFq23bG9WpIIUFRwdg8gt2f7A5vebsm7srwfA2xu7k8wAuiePyacIyydn3rpBybv5LdDZ4yW8oMjVBRr8X20l2qc1yOdqBtJg&_nc_oc=AQl5zAvVgXP4L6lz4g9wnNf3SdUj3GLRoPY3Ys_7Nsszldz-lA0Nap4NQqy1ti6h6F9VoZxGJ7RAs4f6D-Rrzj0h&_nc_ht=scontent.fphs2-1.fna&oh=9f03589ddd2d78a842f63d10dddcdbbd&oe=5E281478,14/10/2019,เพจทางการ,,162,46,,,
47,65102001460,คลินิกเฉพาะทางด้านเวชกรรมอายุรกรรมแพทย์จักรกฤษณ์,นายจักรกฤษณ์  จันทร์รักษ์,นายจักรกฤษณ์  จันทร์รักษ์,235/12 ม.5 ต.หัวรอ อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,,,163,47,,,
48,65102001560,คลินิกเฉพาะทางด้านเวชกรรมกุมารศัลยศาสตร์หมอเยาวลักษณ์,น.ส.เยาวลักษณ์  คำนวณ,น.ส.เยาวลักษณ์  คำนวณ,181/25 ถ.ศรีธรรมไตรฯ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,คลินิก หมอเยาวลักษณ์,ตรวจ รักษา ศัลยกรรมโรคเด็ก และ ตรวจรักษาโรคทั่วไป,055 259 099,https://www.facebook.com/164552007429802/posts/219687781916224/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/21371223_164783207406682_1783321312835786513_n.png?_nc_cat=101&_nc_eui2=AeEJm_CYXXFvuy2qylGSYPHikzvxlNNYu4RLqEhZDFWFG1pat88uJ1PnU_6z_VzySsFvnL6aDzjkYJb0QzODg2r5DBodSa9_mQ5Vw2oV2tKA9A&_nc_oc=AQk0r9s5Nh1Q-CMzQqlA36LQLrLnmDz_UaONBPkIv36w9ZvOz7HwE9Ox5fUCCYrcUeNJYDvbjfcbXEd4Cx2nInky&_nc_ht=scontent.fphs2-1.fna&oh=61c770630091646b8a69afb8ec931ba3&oe=5E2D62E2,21/9/2019,เพจทางการ,,164,48,,,
49,65102001660,นายแพทย์บริบูรณ์คลินิกพาะทางด้านเวชกรรมเวชศาสตร์ครอบครัว,นายบริบูรณ์  รักษาแดน,นายบริบูรณ์  รักษาแดน,692/24 ถ.บึงพระจันทร์ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,คลินิกนายแพทย์บริบูรณ์,,091 025 2798,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%9A%E0%B8%B9%E0%B8%A3%E0%B8%93%E0%B9%8C-180903485815017/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/22281638_180920372479995_6435356461132130572_n.jpg?_nc_cat=100&_nc_eui2=AeGZiXv86VCJ6tGIOvT58wLkk-JRhi_RkRd4ExvTgOiRKkyTGqzTnR8f54S6bWyePHbnLiEW3tcJzrOLz3zIohOJPmpjKMsO7JNUForyg3nAMg&_nc_oc=AQngwgZ5_3mXFTEOqhcY66UjVsqJNoJ1iwfvvgVkLVYJTOcqgXqhNpBN9-Dj7yBfTl7NScgVaUldkulSr-_edtE3&_nc_ht=scontent.fphs2-1.fna&oh=a92e28b7b81242661d5dee9f91d5f14d&oe=5E2F9DCF,11/4/2019,เพจทางการ,,165,49,,,
50,65102001760,แพทย์วลัยรัตน์คลินิกเฉพาะทางด้านเวชกรรมสูตินรีเวช,น.ส.วลัยรัตน์  เข็มทอง,น.ส.วลัยรัตน์  เข็มทอง,18/29-30 ถ.สนามบิน ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,,,166,50,,,
51,65102000161,แพทย์ฟ้าสินีคลินิกเฉพาะทางด้านเวชกรรมจิตเวช,น.ส.ฟ้าสินี  อรุณโรจน์ปัญญา,น.ส.ฟ้าสินี  อรุณโรจน์ปัญญา,261/66 ถ.บรมไตรฯ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-906678,,เฉพาะทาง,คลินิกแพทย์ฟ้าสินี คลินิกเฉพาะทางด้านเวชกรรมจิตเวช พิษณุโลก,,065 423 4577,https://www.facebook.com/Dr.fasineeclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/28379743_157991651575773_5942165873153245079_n.jpg?_nc_cat=107&_nc_eui2=AeGfSSpkA6K_dsWr1ruQwSJy9DeZfo3zPrTv7wfVzTTuHRHT_FdsKzOpSigw3ywMCwVEIfz_BhM8vdog6Uf0uJ4v9n9NpPGKXR8L-Y5JXAdrXA&_nc_oc=AQn6h8_pCvUExqbg2JXrG2sH-aGCxF6kJ4ATsW3DXbAaxIJrUXDtL1u1PMXCgyU1d-eQJALy65IFxnUCLf9TXA7f&_nc_ht=scontent.fphs2-1.fna&oh=cb8204bf62f560ee3916147e1ac917fb&oe=5E5A361A,8/9/2019,เพจทางการ,,167,51,,,
52,65102000261,คลินิกเฉพาะทางด้านเวชกรรมโรคตนายแพทย์นพเก้า,นายนพเก้า  คงตาล,นายนพเก้า  คงตาล,49/55 ถ.ชาญเวชกิจ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,,,168,52,,,
53,65102000361,ฟันน้ำนมคลินิกเฉพาะทางด้านทันตกรรมสำหรับเด็ก,น.ส.ปวีณา  คุณนาเมือง,น.ส.ปวีณา  คุณนาเมือง,222/59 ม.6 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,ฟันน้ำนม คลินิกทันตกรรมสำหรับเด็ก ทำฟันเด็ก พิษณุโลก,คลินิกทันตกรรมสำหรับเด็ก ทำฟันเด็กโดยทันตแพทย์เฉพาะทาง อ.เมือง พิษณุโลก,081 797 9220,https://www.facebook.com/molarbear.xyz/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/24300966_253016985227546_3292512939763255374_n.jpg?_nc_cat=104&_nc_eui2=AeEXgVsnBBWQptc0KuNArzfFrnx7ge4Tapz7PhS57kSapWLXo0cri8AbIFhI4CRAkhvfQKxCSU4yA7q1aK-pYBBmCdNlRSQG84ZUpZ3hcnfh5g&_nc_oc=AQmJD4rIoWnYB-CAixm7M-GTReA-pgV7hfvcOJpqIPwdXXSoyCEgF_iSnFWD2kXQI-cxkty6L2ecltPFg0ctVgum&_nc_ht=scontent.fphs2-1.fna&oh=64d39251ddac0a445cd0d4ca7369e726&oe=5E5AE989,11/10/2019,เพจทางการ,,169,53,,,
54,65102000461,คลินิกเฉพาะทางด้านเวชกรรมประสาทวิทยานายแพทย์เจริญรัตน์,นายเจริญรัตน์ ชัยเจริญธนพร,นายเจริญรัตน์ ชัยเจริญธนพร,59/49 ถ.ศรีธรรมไตรปิฎก ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,,,170,54,,,
55,65102000561,คลินิกหมอฉัตรชัยคลินิกเฉพาะทางด้านเวชกรรมอายุรกรรม,นายฉัตรชัย ลีละเศรษฐกุล,นายฉัตรชัย ลีละเศรษฐกุล,109/206 หมู่ 7 ตำบล บางระกำ อำเภอ บางระกำ จังหวัด พิษณุโลก รหัสไปรษณีย์ 65140,,,เฉพาะทาง,คลินิกหมอฉัตรชัย,แพทย์​เฉพาะ​ทาง​อายุรกรรม​และ​โรค​ทั่วไป​,084 228 3249,https://www.facebook.com/Bangrakamclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/42044549_304563900148443_5700032930257043456_n.jpg?_nc_cat=110&_nc_eui2=AeFdRWeWdT2B5f_WMxx4ylvGqFSHN0vFVZ_ick9bcugsBeXT4YX-a868kHx97Zo3yaaLnJ0dgRXcylabVlfRCnFn1SQZu-7tVIiKumtr5IHOXA&_nc_oc=AQlMIOra74-KtPABmrDX6PM3dJhQBaHAofkJjRndqYnHVU_YT41lEu3TcgrytzCjgq3ysVdYdHo-ERa_Fad-T1q2&_nc_ht=scontent.fphs2-1.fna&oh=86761b9d6882e8f4dd673b505cf256f2&oe=5E621817,16/10/2019,เพจทางการ,,171,55,,,
56,65102000661,ดร.เอคลินิกเฉพาะทางด้านเวชกรรมศัลยศาสตร์ตกแต่ง,นางสาววนิดา กาวิชัย,นางสาววนิดา กาวิชัย,238/2 ถนน พระองค์ขาว ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,,,,,,,,,172,56,,,
57,65102000762,แพทย์หญิงจันทร์เพ็ญคลินิกเฉพาะทางด้านเวชกรรมจิตเวชศาสตร์เด็กและวัยรุ่น,นางสาวจันทร์เพ็ญ ขวัญศิริกุล,นางสาวจันทร์เพ็ญ ขวัญศิริกุล,9/9 ถนน พระลือ ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,,,,,,,,,173,57,,,
58,65102000862,คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไตแพทย์ธนวรรณ,นางธนวรรณ ปรีพูล,นางธนวรรณ ปรีพูล,27/2 ถนน ไสฤาไท ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,คลินิกอายุรกรรมโรคไตแพทย์หญิงธนวรรณ,"คลินิกอายุรกรรมโรคไตแพทย์หญิงธนวรรณ 
Line : @thanawanclinic",093-2917999,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AD%E0%B8%B2%E0%B8%A2%E0%B8%B8%E0%B8%A3%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B9%84%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87%E0%B8%98%E0%B8%99%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93-204977650418209/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/49766443_239556933626947_5279992163864674304_n.jpg?_nc_cat=106&_nc_eui2=AeFBee78iAap7OTuVLQru7m9YlnmQK2N432puztfVDyE1Y9So7LdyXz971LyaRUkoKDdGcTPjuf28MFXsOlw_AT12bFZ57vv7RpEF1TgQcY3Sg&_nc_oc=AQnztKKOyCXhzW4742VD4x3p3w_MRD2rv4mwIxvCZShLpSuKi4kjTkIIPhO8UXXTjlqn1Uzc-BhKAFhXCXTnilMA&_nc_ht=scontent.fphs2-1.fna&oh=84c56f91e3ceafec61d08adb20a81ea5&oe=5E59D81A,19/9/2019,เพจทางการ,,174,58,,,
59,65102000962,คลินิกเฉพาะทางด้านเวชกรรม หู คอ จมูก แพทย์ภิรดี,นางสาวภิรดี จันทร์มณฑล,นางสาวภิรดี จันทร์มณฑล,209/63 ถนน บรมไตรโลกนารถ ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,Piradee Clinic,"ศัยกรรมตกแต่ง เสริมจมูก 
โรคหู คอ จมูก เสียงแหบ ไซนัส
ภูมิแพ้ ไทรอยด์ หูตึง นอนกรน
โทร 088-043-1778",088 043 1778,https://www.facebook.com/Piradeeclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/45325331_2131487426914156_17087325523673088_n.jpg?_nc_cat=104&_nc_eui2=AeFoERBnPuYAlVWZmQ5jCZCYCjXkD8CIs3HIjNYRXzI2B8iyVJuEtaI9gQoP6qjsEUMbgOuOOhAC49y9MF_c2fka6ETRWmWVwUFkkEtYpYZYGw&_nc_oc=AQl24pTA8-ruteQ7by00GSOnhsk7DU6jXqXkmMv-h0DDPXWcjTMBsa_Bo2F6Mg2-sLTt1Kk3NCNzbwcptpKl-D6v&_nc_ht=scontent.fphs2-1.fna&oh=0cc9ec0a5ecd1af6bd8cd221bb46cce8&oe=5E2EDB05,13/9/2019,เพจทางการ,,175,59,,,
60,65102001062,คลินิกเฉพาะทางด้านเวชกรรมอายุรกรรมทั่วไปแพทย์หญิงจารุวรรณ,นางจารุวรรณ เดียวสุรินทร์,นางจารุวรรณ เดียวสุรินทร์,316/33 ถนน สีหราชเดโชชัย ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,,,,,,,,,176,60,,,
1,65103004422,คลินิกกาญจนาทันตแพทย์,ทญ.กาญจนา     แสงเปี่ยม,ทญ.กาญจนา     แสงเปี่ยม,12/12 ถ. ราเมศวร ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-251879,,ทันตกรรม,,,,,,,,,177,,1,,
2,65103009525,คลินิกสุมิตรทันตแพทย์,ทพ.สุมิตร      รัตนเกษตรสิน,ทพ.สุมิตร      รัตนเกษตรสิน,183/4 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,055-252247,,ทันตกรรม,คลินิกทันตกรรมสุมิตรทันตแพทย์ พิษณุโลก,"คลินิกทันตกรรมสุมิตรทันตแพทย์ พิษณุโลก
ให้บริการตรวจฟัน ขูดหินปูน อุดฟัน ถอนฟัน ผ่าฟันคุด ฟอกสีฟัน รักษารากฟัน ครอบฟัน สะพานฟัน และฟันปลอมทุกชนิด ฯลฯ",081 379 5089,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%AA%E0%B8%B8%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B8%9E%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8%E0%B9%82%E0%B8%A5%E0%B8%81-102618187015039/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/47235769_306568136620042_4136004689449713664_n.jpg?_nc_cat=108&_nc_eui2=AeGXjS3Ep8cijCrogXlxbQyYG0QxBFfK4h5H0ojoNxNfYQa5uRYXjbVShvV6i6XhQCkkhiq73KOm9nsDD5IdwhpERn2bG6u0gyDakNN8gb4zrQ&_nc_oc=AQlceyePiW1I42PWB7qnMgMdQ22Ov3_a4gn8F-KJ0u8_zv1F3UAdUKtnhwkQiYYVaO6uvKDUYbwt-ZFdXTYH2H2U&_nc_ht=scontent.fphs2-1.fna&oh=7d18c0c9e63010fddcef048751929c02&oe=5E60F7F1,5/10/2019,เพจทางการ,,178,,2,,
3,65103011028,คลินิกทันตแพทย์ภาณุพันธ์,ทพ.ภาณุพันธ์      พฤฒิกุล,ทพ.ภาณุพันธ์      พฤฒิกุล,18/8 ถ. สุรสีห์ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-219093,,ทันตกรรม,คลีนิคทันตแพทย์ภาณุพันธ์,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%A0%E0%B8%B2%E0%B8%93%E0%B8%B8%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C/290351467706717,,4/10/2019,เพจไม่เป็นทางการ,,179,,3,,
4,65103012731,คลินิกทันตแพทย์สมภพ,ทพ.สมภพ       กังธีระวัฒน์,ทพ.สมภพ       กังธีระวัฒน์,225/3 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก,055-219716,,ทันตกรรม,,,,,,,,,180,,4,,
5,65103017934,คลินิกทันตแพทย์วิศิษฐ์,ทพ.วิศิษฐ์       เอี่ยมเจริญ,ทพ.วิศิษฐ์       เอี่ยมเจริญ,95 ถ. พญาลิไท ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-258961,,ทันตกรรม,,,,,,,,,181,,5,,
6,65103004038,คลินิกทันตแพทย์มานะ,ทพ.มานะ       วิริยะสุมน,ทพ.มานะ       วิริยะสุมน,100 ถ. พญาลิไท ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-259688,,ทันตกรรม,,,,,,,,,182,,6,,
7,65103009138,คลินิกทันตแพทย์สมชาย-รุ่งนภา,ทพ.สมชาย      ทรัพย์สุพรรณ,ทพ.สมชาย      ทรัพย์สุพรรณ,20 ถ. นเรศวร ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-259351,,ทันตกรรม,คลินิกหมอสมชาย-รุ่งนภา,,055 259 351,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%AA%E0%B8%A1%E0%B8%8A%E0%B8%B2%E0%B8%A2-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B8%99%E0%B8%A0%E0%B8%B2/238790236261358,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/11151049_908629319197209_7821512254988932814_n.jpg?_nc_cat=107&_nc_eui2=AeFL8jXBxfsQclRNM8A6-eKvR03T_bx_2oF2twYGn7ke0ZURYmYEYeqjIalvnAWcmd9coxlRieRi1-hfEvXCHt4eoRV8Rk7MbscVgH0NASHaoQ&_nc_oc=AQne39672bY6IFC10FuU8tbC1Z9e9bNiNN96_ufYNfLHsrTRHOIzXLQ7AtvUUnWpTHnehKCsf3SQ18v94H_1SFcN&_nc_ht=scontent.fphs2-1.fna&oh=1e5a8a3b04a245bb35ec59c9dd3ec0d8&oe=5E24D5A8,27/9/2019,เพจไม่เป็นทางการ,,183,,7,,
8,65103000339,คลินิกพินิจทันตแพทย์,พินิจ      จันทร์ณรงค์,ทพ. พินิจ      จันทร์ณรงค์,87/20 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,055-242367,,ทันตกรรม,คลีนิคพินิจทันตแพทย์,,055 242 367,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%88%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C/633382706673563,,,เพจไม่เป็นทางการ,,184,,8,,
