ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ
51,65102000161,แพทย์ฟ้าสินีคลินิกเฉพาะทางด้านเวชกรรมจิตเวช,น.ส.ฟ้าสินี  อรุณโรจน์ปัญญา,น.ส.ฟ้าสินี  อรุณโรจน์ปัญญา,261/66 ถ.บรมไตรฯ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-906678,,เฉพาะทาง,คลินิกแพทย์ฟ้าสินี คลินิกเฉพาะทางด้านเวชกรรมจิตเวช พิษณุโลก,,065 423 4577,https://www.facebook.com/Dr.fasineeclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t31.0-8/28423070_157991651575773_5942165873153245079_o.jpg?_nc_cat=107&_nc_oc=AQmdhoshot2wlVkxgIfZxDiy2iv1zF4KawNMNIqHitB4GvEg8iRyR1rguUNil9plv8QEXJwI650vP2ClOwKEDku5&_nc_ht=scontent.fphs2-1.fna&oh=5a0dbb9e281e844d3e417210623076ef&oe=5DEDB1C0,17/7/2019,เพจทางการ
52,65102000261,คลินิกเฉพาะทางด้านเวชกรรมโรคตนายแพทย์นพเก้า,นายนพเก้า  คงตาล,นายนพเก้า  คงตาล,49/55 ถ.ชาญเวชกิจ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,
53,65102000361,ฟันน้ำนมคลินิกเฉพาะทางด้านทันตกรรมสำหรับเด็ก,น.ส.ปวีณา  คุณนาเมือง,น.ส.ปวีณา  คุณนาเมือง,222/59 ม.6 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,ฟันน้ำนม คลินิกทันตกรรมสำหรับเด็ก ทำฟันเด็ก พิษณุโลก,คลินิกทันตกรรมสำหรับเด็ก ทำฟันเด็กโดยทันตแพทย์เฉพาะทาง อ.เมือง พิษณุโลก,081 797 9220,https://www.facebook.com/molarbear.xyz/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/24300966_253016985227546_3292512939763255374_n.jpg?_nc_cat=104&_nc_oc=AQkXoNfO-SYRe-P0mNMIvVpfU07fmHjbkyFV7Ud66fnoZ6hpU7uDhy9z8CplTpHy6o8Bz-E55YMkYn2R9v8r4t3I&_nc_ht=scontent.fphs2-1.fna&oh=c1f0e129e8f91a6de67f19d1d66a8c18&oe=5DE44289,27/7/2019,เพจทางการ
54,65102000461,คลินิกเฉพาะทางด้านเวชกรรมประสาทวิทยานายแพทย์เจริญรัตน์,นายเจริญรัตน์ ชัยเจริญธนพร,นายเจริญรัตน์ ชัยเจริญธนพร,59/49 ถ.ศรีธรรมไตรปิฎก ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เฉพาะทาง,,,,,,,
55,65102000561,คลินิกหมอฉัตรชัยคลินิกเฉพาะทางด้านเวชกรรมอายุรกรรม,นายฉัตรชัย ลีละเศรษฐกุล,นายฉัตรชัย ลีละเศรษฐกุล,109/206 หมู่ 7 ตำบล บางระกำ อำเภอ บางระกำ จังหวัด พิษณุโลก รหัสไปรษณีย์ 65140,,,เฉพาะทาง,คลินิกหมอฉัตรชัย,แพทย์​เฉพาะ​ทาง​อายุรกรรม​และ​โรค​ทั่วไป​,084 228 3249,https://www.facebook.com/Bangrakamclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/42044549_304563900148443_5700032930257043456_n.jpg?_nc_cat=110&_nc_oc=AQkYkOX5v21kjP-lwCCRfFiLlD-rAdDbYQxZOBB_rKsPjfAXkTeubXocXESxDMIiuqvR9fd_PsgaIT1DduzYQ8MW&_nc_ht=scontent.fphs2-1.fna&oh=72e6598737425016f339d90a4fe0a876&oe=5DEB7117,16/7/2019,เพจทางการ
56,65102000661,ดร.เอคลินิกเฉพาะทางด้านเวชกรรมศัลยศาสตร์ตกแต่ง,นางสาววนิดา กาวิชัย,นางสาววนิดา กาวิชัย,238/2 ถนน พระองค์ขาว ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,,,,,,,
57,65102000762,แพทย์หญิงจันทร์เพ็ญคลินิกเฉพาะทางด้านเวชกรรมจิตเวชศาสตร์เด็กและวัยรุ่น,นางสาวจันทร์เพ็ญ ขวัญศิริกุล,นางสาวจันทร์เพ็ญ ขวัญศิริกุล,9/9 ถนน พระลือ ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,,,,,,,
58,65102000862,คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคไตแพทย์ธนวรรณ,นางธนวรรณ ปรีพูล,นางธนวรรณ ปรีพูล,27/2 ถนน ไสฤาไท ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,คลินิกอายุรกรรมโรคไตแพทย์หญิงธนวรรณ,"คลินิกอายุรกรรมโรคไตแพทย์หญิงธนวรรณ 
Line : @thanawanclinic",093-2917999,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AD%E0%B8%B2%E0%B8%A2%E0%B8%B8%E0%B8%A3%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B9%84%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87%E0%B8%98%E0%B8%99%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93-204977650418209/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/49766443_239556933626947_5279992163864674304_n.jpg?_nc_cat=106&_nc_oc=AQmupZ7BlyGUpxemV9zyF9CYjtiwyigwP01Jw6P_OutO8c39JC-G6BNGLcyfH4Z2HjmpTIH4Ks17XE2MWh7aJWuU&_nc_ht=scontent.fphs2-1.fna&oh=30d2c06ff7620c3bfff78eadc33a4c91&oe=5DE3311A,8/7/2019,เพจทางการ
59,65102000962,คลินิกเฉพาะทางด้านเวชกรรม หู คอ จมูก แพทย์ภิรดี,นางสาวภิรดี จันทร์มณฑล,นางสาวภิรดี จันทร์มณฑล,209/63 ถนน บรมไตรโลกนารถ ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,Piradee Clinic,"ศัยกรรมตกแต่ง เสริมจมูก 
โรคหู คอ จมูก เสียงแหบ ไซนัส
ภูมิแพ้ ไทรอยด์ หูตึง นอนกรน
โทร 088-043-1778",088 043 1778,https://www.facebook.com/Piradeeclinic/,https://scontent.fphs1-1.fna.fbcdn.net/v/t1.0-9/45325331_2131487426914156_17087325523673088_n.jpg?_nc_cat=104&_nc_oc=AQkMg6J65vRLDWDbQVOfFGuiXZaQkNoTmSKvTzlHlANIEAnytZeCReNb4paOx0FcytE&_nc_ht=scontent.fphs1-1.fna&oh=13600cf9d8be1446ddfe5e240084d632&oe=5DDFC105,26/7/2019,เพจทางการ
60,65102001062,คลินิกเฉพาะทางด้านเวชกรรมอายุรกรรมทั่วไปแพทย์หญิงจารุวรรณ,นางจารุวรรณ เดียวสุรินทร์,นางจารุวรรณ เดียวสุรินทร์,316/33 ถนน สีหราชเดโชชัย ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เฉพาะทาง,,,,,,,
1,65103004422,คลินิกกาญจนาทันตแพทย์,ทญ.กาญจนา     แสงเปี่ยม,ทญ.กาญจนา     แสงเปี่ยม,12/12 ถ. ราเมศวร ต.ในเมือง อ. เมือง จ. พิษณุโลก ,251879,,ทันตกรรม,,,,,,,
2,65103009525,คลินิกสุมิตรทันตแพทย์,ทพ.สุมิตร      รัตนเกษตรสิน,ทพ.สุมิตร      รัตนเกษตรสิน,183/4 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,252247,,ทันตกรรม,คลินิกทันตกรรมสุมิตรทันตแพทย์ พิษณุโลก,"คลินิกทันตกรรมสุมิตรทันตแพทย์ พิษณุโลก
ให้บริการตรวจฟัน ขูดหินปูน อุดฟัน ถอนฟัน ผ่าฟันคุด ฟอกสีฟัน รักษารากฟัน ครอบฟัน สะพานฟัน และฟันปลอมทุกชนิด ฯลฯ",081 379 5089,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%AA%E0%B8%B8%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B8%9E%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8%E0%B9%82%E0%B8%A5%E0%B8%81-102618187015039/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/47235769_306568136620042_4136004689449713664_n.jpg?_nc_cat=108&_nc_oc=AQkidq0fW58QlUwfKMhdGsBRWvsTdIxIS3g4V2hK7NRMh0RYU4XsA1enmr0b2U78ZncWvSyTm6M1MO7FKxukYQcN&_nc_ht=scontent.fphs2-1.fna&oh=606f4fae42375b15e497eaaccca570b2&oe=5DEA50F1,23/7/2019,เพจทางการ
3,65103011028,คลินิกทันตแพทย์ภาณุพันธ์,ทพ.ภาณุพันธ์      พฤฒิกุล,ทพ.ภาณุพันธ์      พฤฒิกุล,18/8 ถ. สุรสีห์ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,219093,,ทันตกรรม,คลีนิคทันตแพทย์ภาณุพันธ์,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%A0%E0%B8%B2%E0%B8%93%E0%B8%B8%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C/290351467706717,,19/7/2019,เพจไม่เป็นทางการ
4,65103012731,คลินิกทันตแพทย์สมภพ,ทพ.สมภพ       กังธีระวัฒน์,ทพ.สมภพ       กังธีระวัฒน์,225/3 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก,219716,,ทันตกรรม,,,,,,,
5,65103017934,คลินิกทันตแพทย์วิศิษฐ์,ทพ.วิศิษฐ์       เอี่ยมเจริญ,ทพ.วิศิษฐ์       เอี่ยมเจริญ,95 ถ. พญาลิไท ต.ในเมือง อ. เมือง จ. พิษณุโลก ,258961,,ทันตกรรม,,,,,,,
6,65103004038,คลินิกทันตแพทย์มานะ,ทพ.มานะ       วิริยะสุมน,ทพ.มานะ       วิริยะสุมน,100 ถ. พญาลิไท ต.ในเมือง อ. เมือง จ. พิษณุโลก ,259688,,ทันตกรรม,,,,,,,
7,65103009138,คลินิกทันตแพทย์สมชาย-รุ่งนภา,ทพ.สมชาย      ทรัพย์สุพรรณ,ทพ.สมชาย      ทรัพย์สุพรรณ,20 ถ. นเรศวร ต.ในเมือง อ. เมือง จ. พิษณุโลก ,259351,,ทันตกรรม,คลินิกหมอสมชาย-รุ่งนภา,,055 259 351,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%AA%E0%B8%A1%E0%B8%8A%E0%B8%B2%E0%B8%A2-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B8%99%E0%B8%A0%E0%B8%B2/238790236261358,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/11151049_908629319197209_7821512254988932814_n.jpg?_nc_cat=107&_nc_oc=AQmwq6JzvGKFndrjTp_UhebETGUBCSYfasGs57WGYkCa5vj6EEVsoCr_9xdT90KwRIQX-DRoQg0BnOqc1y7G7FX5&_nc_ht=scontent.fphs2-1.fna&oh=c4591d78384876a37440b3a8c44db361&oe=5DAE2EA8,13/7/2019,เพจไม่เป็นทางการ
8,65103000339,คลินิกพินิจทันตแพทย์,พินิจ      จันทร์ณรงค์,ทพ. พินิจ      จันทร์ณรงค์,87/20 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,242367,,ทันตกรรม,คลีนิคพินิจทันตแพทย์,,055 242 367,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%88%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C/633382706673563,,,เพจไม่เป็นทางการ
9,65103000140,คลินิกทันตแพทย์วิทยา,ทพ.วิทยา       ตั้งศิริอักษร,ทพ.วิทยา       ตั้งศิริอักษร,112/53 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,246541,,ทันตกรรม,คลินิกทันตแพทย์ วิทยา,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2/527983860656557,,,เพจไม่เป็นทางการ
10,65103000540,ทันตคลินิก,ทพ.ดนตรี       ครุธดิลกานันท์,ทพ.ดนตรี       ครุธดิลกานันท์,110/24 ถ. พระองค์ดำต.ในเมือง อ. เมือง จ. พิษณุโลก ,211788,,ทันตกรรม,,,,,,,
11,65103000242,คลินิกชฎาภรณ์ทันตแพทย์,ทญ.ชฎาภรณ์ วัชรประภาพงศ์,ทญ.ชฎาภรณ์ วัชรประภาพงศ์,18/21 ถ. สนามบิน ต.ในเมือง อ. เมือง จ. พิษณุโลก ,243742,,ทันตกรรม,,,,,,,
12,65103000143,คลินิกทันตแพทย์มนัส,ทพ.มนัส       วัฒนวงศ์วิบูลย์,ทพ.มนัส       วัฒนวงศ์วิบูลย์,46 ถ. เจ้าพระยา ต.ในเมือง อ. เมือง จ. พิษณุโลก ,219283,,ทันตกรรม,,,,,,,
13,65103000155,คลินิกศูนย์ทันตกรรมคลาสวัน,ทพ.ธนกฤต      หอวรรณภากร,ทพ.ธนกฤต      หอวรรณภากร,214/18 ถ. บรมไตรฯ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,243783-4,,ทันตกรรม,,,,,,,
14,65103000146,คลินิกทันตกรรม บ้าน ฟ.ฟัน,ทญ.แสงดาว ศิริเจริญพันธ์,ทญ.แสงดาว ศิริเจริญพันธ์,209/10 ถ.บรมไตรโลกนารถ อ.เมือง จ.พิษณุโลก ,219451,,ทันตกรรม,คลินิกบ้าน ฟ.ฟัน โดยทันตแพทย์เฉพาะทาง,"Orthodontics Dental Clinic 
ทำฟันโดยทันตแพทย์เฉพาะทาง หลายสาขา
จัดฟัน รากเทียม อุดฟัน ถอนฟันผ่าฟันคุด",055 244 451,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99-%E0%B8%9F%E0%B8%9F%E0%B8%B1%E0%B8%99-%E0%B9%82%E0%B8%94%E0%B8%A2%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B9%80%E0%B8%89%E0%B8%9E%E0%B8%B2%E0%B8%B0%E0%B8%97%E0%B8%B2%E0%B8%87-480406508690461/,https://scontent.fphs1-1.fna.fbcdn.net/v/t31.0-8/820813_480413398689772_1300278390_o.jpg?_nc_cat=106&_nc_oc=AQl2SQ6gwF6EXw70UIFh_5cvJ-64rC1doSpHeQ-0kfNXTugJlx9pz6EbXlNiJK4UEEc&_nc_ht=scontent.fphs1-1.fna&oh=4a8115d0bfefc6cb71ca27abe9cf551a&oe=5DE34F60,26/7/2019,เพจทางการ
15,65103000247,คลินิกทันตกรรมรอยยิ้ม,ทญ.วรรณา โล้วพฤกษ์มณี,ทญ.วรรณา โล้วพฤกษ์มณี,209/25 ถ.บรมไตรโลกนารถ อ.เมือง จ.พิษณุโลก ,251550,,ทันตกรรม,,,,,,,
16,65103000347,คลินิกทันตกรรมฟันดีคลินิก,ทญ.พัสตราภรณ์ พยัคฆภาพ,ทญ.พัสตราภรณ์ พยัคฆภาพ,34/18 ถ.เจ้าพระยาสุรสีห์ อ.เมือง จ.พิษณุโลก ,225299,,ทันตกรรม,,,,,,,
17,65103000148,คลินิกบ้านทันตกรรม,ทญ.มณฑิรา ปกรโณดม,ทญ.มณฑิรา ปกรโณดม,59/179 ถ.ศรีธรรมไตรปิฏก ต.ในเมือง อ.เมือง จ.พิษณุโลก ,,,ทันตกรรม,,,,,,,
18,65103000150,คลินิกทันตกรรมบ้านหมอฟันสุรสีห์,ทพ.เกรียงไกร วิบูลสวัสดิ์วัฒนา,ทพ.เกรียงไกร วิบูลสวัสดิ์วัฒนา,55/49 ถ.ศรีธรรมปิฏก ต.ในเมือง อ.เมือง จ.พิษณุโลก ,055-219737,,ทันตกรรม,,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9F%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%AA%E0%B8%B5%E0%B8%AB%E0%B9%8C/675350369169508,,,
19,65103000251,คลินิกทันตกรรมเดนท์ฟอร์ยู,น.ส.พรสุดา  หน่อไชย,น.ส.พรสุดา  หน่อไชย,930/2 ม.7 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก ,055-226995,,ทันตกรรม,คลีนิกทันตกรรมเดนท์ ฟอร์ ยู พิษณุโลก,,,https://www.facebook.com/people/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%A2%E0%B8%B9-%E0%B8%9E%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8%E0%B9%82%E0%B8%A5%E0%B8%81/100002762517820,https://scontent.fphs1-1.fna.fbcdn.net/v/t1.0-9/251452_108974759204607_3926461_n.jpg?_nc_cat=100&_nc_oc=AQlw3q5-PUfX7j7L7AzupUi5CfZfMOQ_YxzpvRGCNNy1lk_QCYZuvWsXz-Byn9vcScM&_nc_ht=scontent.fphs1-1.fna&oh=d98afeebb3c9bb0dd0baab3d0302456a&oe=5DA2D7EF,,เพจไม่เป็นทางการ
20,65103000152,คลินิกทันตกรรมสวนพฤกษา,ทพ.ทนงศักดิ์ จูฑศรีพานิช,ทพ.ทนงศักดิ์ จูฑศรีพานิช,199/3 ถ.พระยาจักรี ต.ในเมือง อ.เมือง จ.พิษณุโลก ,055-252322,,ทันตกรรม,คลินิกทันตกรรมสวนพฤกษา,จัดฟัน บริการด้านทันตกรรมทั่วไปอุด ขูด ถอน ผ่า ใส่ฟันปลอม,055 252 322,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B8%B2-305756672778486/,https://scontent.fphs1-1.fna.fbcdn.net/v/t1.0-9/15094863_1251887558165388_6277641568361603871_n.jpg?_nc_cat=102&_nc_oc=AQnRzsFb2d_KDxC7L94zdKTiT45FnmhWPLIKWC-xPf0FBRmIkTP9U0uPSozpWP9MXZo&_nc_ht=scontent.fphs1-1.fna&oh=856ebe34e238b9f585ca526b6bab5440&oe=5DEBE92D,26/4/2019,เพจทางการ
21,65103000252,คลินิกทันตกรรมที - เด้นท์,นายนิติ ศรีมงคลถาวร,นายนิติ ศรีมงคลถาวร,245/84 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง.จ.พิษณุโลก,,,ทันตกรรม,คลินิกทันตกรรมที-เด้นท์,"คลินิกทันตกรรมที-เด้นท์
everything for your smiles",089 769 9867,https://www.facebook.com/pages/category/General-Dentist/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%97%E0%B8%B5-%E0%B9%80%E0%B8%94%E0%B9%89%E0%B8%99%E0%B8%97%E0%B9%8C-307721189259344/,https://scontent.fphs1-1.fna.fbcdn.net/v/t1.0-9/380946_307723019259161_1353394656_n.jpg?_nc_cat=100&_nc_oc=AQla7kp0XdLDcpaIMLIFRWqVISmjbWemBYTU2TP5MY5ylpedlGzlTAACU4YGB1lVVBA&_nc_ht=scontent.fphs1-1.fna&oh=cb076eb0efc7b176cbca17612133ba90&oe=5DE5DBF9,30/7/2019,เพจทางการ
22,65103000253,คลินิกทันตกรรมรักฟัน,นางดวงทิพย์  เครียดธฤมาล,นางดวงทิพย์  เครียดธฤมาล,7/89 ถ.พระร่วง ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-251515,,ทันตกรรม,คลินิกรักฟัน พิษณุโลก,,055 251 515,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%9F%E0%B8%B1%E0%B8%99-%E0%B8%9E%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8%E0%B9%82%E0%B8%A5%E0%B8%81/450217531742968,https://scontent.fphs1-1.fna.fbcdn.net/v/t1.0-1/p320x320/29066392_580273258993618_4777001380316831325_n.jpg?_nc_cat=109&_nc_oc=AQlvM2e_Pb9AuiyOUuConHiWZnPhYETf6JmBpkiAgbCDyeJHnI_ZJanXbeNnVrwxfvw&_nc_ht=scontent.fphs1-1.fna&oh=cbd17e4b7639b84323bc14f7dc452c53&oe=5DAA083E,26/7/2019,เพจไม่เป็นทางการ
23,65103000453,คลินิกทันตกรรมหมอตุ้ม,น.ส.ผจงจิต  ไชยมณี,น.ส.ผจงจิต  ไชยมณี,34/26 ถ.เจ้าพระยาสุรสีห์ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,055-251997,,ทันตกรรม,ทำฟัน จัดฟันพิษณุโลก:หมอตุ้มคลินิกทันตกรรม,ทำฟัน จัดฟันพิษณุโลก โดยทันตแพทย์เฉพาะทาง,055 007 288,https://www.facebook.com/drtumphitsanulok,https://scontent.fphs1-1.fna.fbcdn.net/v/t1.0-9/22886096_1979401118983724_8828370335601760010_n.jpg?_nc_cat=105&_nc_oc=AQkJjotI15eF8RkX902AoD7mO54Y3-FLVf0PofNpnKV5CPbtl4TRlVzOEVFRnxTNa7E&_nc_ht=scontent.fphs1-1.fna&oh=de42419651e2b95cbdb1411f3d974933&oe=5DE40EC5,18/7/2019,เพจทางการ
24,65103000254,คลินิกจรุงสิทธิ์ทันตแพทย์,นายจรุงสิทธิ์  เกื้อกูลวงศ์,นายจรุงสิทธิ์  เกื้อกูลวงศ์,106 ถ.พญาลิไท ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-241354,,ทันตกรรม,,,,,,,
25,65103000255,คลินิกทันตกรรมบีไฟน์,น.ส.ปัณณรัตน์  ชนะศักดิ์พิศาล,น.ส.ชารีรัตน์  จิตต์ตรง,260/1 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง จ.พิษณุโลก,080-6817629,,ทันตกรรม,คลินิกทันตกรรมบีไฟน์ Be-Fine Dental Clinic,คลินิกทันตกรรมบีไฟน์ เพิ่มความมั่นใจให้รอยยิ้มคุณ,081 681 7629,https://www.facebook.com/pages/category/General-Dentist/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%9A%E0%B8%B5%E0%B9%84%E0%B8%9F%E0%B8%99%E0%B9%8C-Be-Fine-Dental-Clinic-575256599276279/,https://scontent.fphs1-1.fna.fbcdn.net/v/t1.0-9/23435174_1079513932183874_1649501893342032798_n.jpg?_nc_cat=110&_nc_oc=AQl9J27eLenypT2M-xMdeCBhod6j7EYTEMBCxsAAymiCTzNGC4H9x7M2tUq3L7oBq5c&_nc_ht=scontent.fphs1-1.fna&oh=0bd88c90832e71d65d39217217a2f5f6&oe=5DD955DC,13/6/2019,เพจทางการ
26,65103000256,คลินิกทันตกรรมเด็นทัลโฮม,นางลลิตกร  พรหมมา,นางลลิตกร  พรหมมา,167/18 ม.7 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก,,,ทันตกรรม,คลินิกทันตกรรมเด็นทอลเฮ้าส์ พิษณุโลก,คลินิกหมอฟัน ทำฟัน จัดฟัน,094 894 3369,https://www.facebook.com/dentalhouseplk/,https://scontent.fphs1-1.fna.fbcdn.net/v/t31.0-8/23592162_947545422065998_6968784426464150675_o.jpg?_nc_cat=106&_nc_oc=AQn0CsZfVT9cnnDca2tQTmElTORVj47Yhj6CgZKb1CEd_mzwgkBzx_cFtFt_2_g24M4&_nc_ht=scontent.fphs1-1.fna&oh=a8734449bf9b95bcf62bf759672d51bb&oe=5DE41AF5,27/7/2019,เพจทางการ
